,date,season,year,month,holiday,week_day,working_day,weather_sit,temprature,feel_temprature,humidity,wind_speed,casual_user,registered_user,total_user
71,2011-03-13,springer,2011,Mar,no,sunday,no,clear,15.76,19.0,52.74,18.13,982,1435,2417
72,2011-03-14,springer,2011,Mar,no,monday,yes,clear,13.33,16.6,49.7,9.17,359,1687,2046
73,2011-03-15,springer,2011,Mar,no,tuesday,yes,mist,13.01,15.91,65.57,12.35,289,1767,2056
74,2011-03-16,springer,2011,Mar,no,wednesday,yes,mist,14.97,18.35,77.65,13.61,321,1871,2192
75,2011-03-17,springer,2011,Mar,no,thursday ,yes,clear,17.02,20.52,60.29,14.04,424,2320,2744
76,2011-03-18,springer,2011,Mar,no,friday,yes,clear,22.14,26.35,52.52,15.48,884,2355,3239
77,2011-03-19,springer,2011,Mar,no,saturday,no,clear,19.37,23.33,37.92,24.67,1424,1693,3117
78,2011-03-20,springer,2011,Mar,no,sunday,no,clear,13.63,16.29,47.38,13.92,1047,1424,2471
79,2011-03-21,summer,2011,Mar,no,monday,yes,mist,17.65,20.49,73.74,19.35,401,1676,2077
80,2011-03-22,summer,2011,Mar,no,tuesday,yes,clear,18.11,22.03,62.46,15.13,460,2243,2703
81,2011-03-23,summer,2011,Mar,no,wednesday,yes,mist,14.23,16.9,83.96,15.7,203,1918,2121
82,2011-03-24,summer,2011,Mar,no,thursday ,yes,mist,11.68,13.54,80.58,16.33,166,1699,1865
83,2011-03-25,summer,2011,Mar,no,friday,yes,clear,10.83,12.82,49.5,15.46,300,1910,2210
84,2011-03-26,summer,2011,Mar,no,saturday,no,clear,10.9,12.88,39.42,14.04,981,1515,2496
85,2011-03-27,summer,2011,Mar,no,sunday,no,mist,10.37,12.52,49.39,12.35,472,1221,1693
86,2011-03-28,summer,2011,Mar,no,monday,yes,clear,10.84,12.88,30.22,14.22,222,1806,2028
87,2011-03-29,summer,2011,Mar,no,tuesday,yes,clear,12.4,14.65,31.42,15.21,317,2108,2425
88,2011-03-30,summer,2011,Mar,no,wednesday,yes,mist,12.3,14.87,64.67,11.58,168,1368,1536
89,2011-03-31,summer,2011,Mar,no,thursday ,yes,light rain,11.0,12.88,91.83,14.58,179,1506,1685
90,2011-04-01,summer,2011,Apr,no,friday,yes,mist,12.3,14.17,68.62,17.33,307,1920,2227
91,2011-04-02,summer,2011,Apr,no,saturday,no,mist,12.92,15.78,65.38,13.21,898,1354,2252
92,2011-04-03,summer,2011,Apr,no,sunday,no,clear,15.51,18.94,48.0,12.21,1651,1598,3249
93,2011-04-04,summer,2011,Apr,no,monday,yes,clear,23.51,27.15,42.62,25.83,734,2381,3115
94,2011-04-05,summer,2011,Apr,no,tuesday,yes,mist,16.98,19.92,64.21,26.0,167,1628,1795
95,2011-04-06,summer,2011,Apr,no,wednesday,yes,clear,16.02,19.38,47.08,17.63,413,2395,2808
96,2011-04-07,summer,2011,Apr,no,thursday ,yes,clear,17.94,21.68,60.29,10.87,571,2570,3141
97,2011-04-08,summer,2011,Apr,no,friday,yes,mist,13.77,16.22,83.62,15.21,172,1299,1471
98,2011-04-09,summer,2011,Apr,no,saturday,no,mist,14.04,17.08,87.75,8.92,879,1576,2455
99,2011-04-10,summer,2011,Apr,no,sunday,no,mist,17.49,21.34,85.75,9.83,1188,1707,2895
100,2011-04-11,summer,2011,Apr,no,monday,yes,mist,24.42,28.26,71.7,21.74,855,2493,3348
101,2011-04-12,summer,2011,Apr,no,tuesday,yes,mist,20.6,24.65,73.92,18.42,257,1777,2034
102,2011-04-13,summer,2011,Apr,no,wednesday,yes,mist,16.91,20.86,81.92,16.79,209,1953,2162
103,2011-04-14,summer,2011,Apr,no,thursday ,yes,clear,19.17,23.14,54.04,7.42,529,2738,3267
104,2011-04-15,summer,2011,Apr,yes,friday,no,clear,18.31,22.1,67.12,15.17,642,2484,3126
105,2011-04-16,summer,2011,Apr,no,saturday,no,light rain,17.66,21.27,88.83,22.83,121,674,795
106,2011-04-17,summer,2011,Apr,no,sunday,no,clear,18.72,22.28,47.96,20.33,1558,2186,3744
107,2011-04-18,summer,2011,Apr,no,monday,yes,clear,21.01,25.16,54.25,10.96,669,2760,3429
108,2011-04-19,summer,2011,Apr,no,tuesday,yes,mist,20.74,24.46,66.58,10.58,409,2795,3204
109,2011-04-20,summer,2011,Apr,no,wednesday,yes,clear,24.4,28.22,61.42,16.21,613,3331,3944
110,2011-04-21,summer,2011,Apr,no,thursday ,yes,clear,18.83,22.69,40.71,21.79,745,3444,4189
111,2011-04-22,summer,2011,Apr,no,friday,yes,mist,13.8,16.1,72.96,14.71,177,1506,1683
112,2011-04-23,summer,2011,Apr,no,saturday,no,mist,18.86,22.51,88.79,15.46,1462,2574,4036
113,2011-04-24,summer,2011,Apr,no,sunday,no,mist,23.85,27.59,81.08,12.88,1710,2481,4191
114,2011-04-25,summer,2011,Apr,no,monday,yes,clear,24.87,28.72,77.67,12.42,773,3300,4073
115,2011-04-26,summer,2011,Apr,no,tuesday,yes,clear,25.9,29.7,72.92,21.88,678,3722,4400
116,2011-04-27,summer,2011,Apr,no,wednesday,yes,mist,25.42,28.76,83.54,20.92,547,3325,3872
117,2011-04-28,summer,2011,Apr,no,thursday ,yes,mist,25.32,28.95,70.08,21.5,569,3489,4058
118,2011-04-29,summer,2011,Apr,no,friday,yes,clear,20.91,24.87,45.71,16.08,878,3717,4595
119,2011-04-30,summer,2011,Apr,no,saturday,no,clear,19.37,23.2,50.33,15.75,1965,3347,5312
120,2011-05-01,summer,2011,May,no,sunday,no,mist,18.52,22.41,76.21,7.13,1138,2213,3351
121,2011-05-02,summer,2011,May,no,monday,yes,mist,22.52,26.64,73.0,12.29,847,3554,4401
122,2011-05-03,summer,2011,May,no,tuesday,yes,mist,25.28,29.1,69.71,22.96,603,3848,4451
123,2011-05-04,summer,2011,May,no,wednesday,yes,mist,16.98,20.23,73.71,22.04,255,2378,2633
124,2011-05-05,summer,2011,May,no,thursday ,yes,clear,18.83,22.1,44.42,19.79,614,3819,4433
125,2011-05-06,summer,2011,May,no,friday,yes,clear,19.65,23.71,59.0,15.29,894,3714,4608
126,2011-05-07,summer,2011,May,no,saturday,no,clear,21.32,25.63,54.12,10.75,1612,3102,4714
127,2011-05-08,summer,2011,May,no,sunday,no,clear,21.66,25.95,63.17,5.0,1401,2932,4333
128,2011-05-09,summer,2011,May,no,monday,yes,clear,21.83,26.26,58.88,11.79,664,3698,4362
129,2011-05-10,summer,2011,May,no,tuesday,yes,clear,21.83,26.14,48.92,7.75,694,4109,4803
130,2011-05-11,summer,2011,May,no,wednesday,yes,clear,22.24,26.42,63.29,8.08,550,3632,4182
131,2011-05-12,summer,2011,May,no,thursday ,yes,clear,21.94,26.17,74.75,12.71,695,4169,4864
132,2011-05-13,summer,2011,May,no,friday,yes,mist,21.01,24.72,86.33,12.04,692,3413,4105
133,2011-05-14,summer,2011,May,no,saturday,no,mist,21.35,25.03,92.25,9.04,902,2507,3409
134,2011-05-15,summer,2011,May,no,sunday,no,mist,23.06,26.8,86.71,10.25,1582,2971,4553
135,2011-05-16,summer,2011,May,no,monday,yes,clear,23.68,27.53,78.79,8.5,773,3185,3958
136,2011-05-17,summer,2011,May,no,tuesday,yes,mist,23.03,26.93,83.79,18.58,678,3445,4123
137,2011-05-18,summer,2011,May,no,wednesday,yes,mist,22.55,26.36,87.0,13.5,536,3319,3855
138,2011-05-19,summer,2011,May,no,thursday ,yes,mist,21.76,25.54,82.96,7.25,735,3840,4575
139,2011-05-20,summer,2011,May,no,friday,yes,clear,22.0,26.45,71.96,8.38,909,4008,4917
140,2011-05-21,summer,2011,May,no,saturday,no,clear,24.7,28.6,62.67,8.08,2258,3547,5805
141,2011-05-22,summer,2011,May,no,sunday,no,clear,24.77,28.72,74.96,9.92,1576,3084,4660
142,2011-05-23,summer,2011,May,no,monday,yes,mist,25.9,29.51,81.0,15.67,836,3438,4274
143,2011-05-24,summer,2011,May,no,tuesday,yes,mist,27.06,30.24,74.08,13.88,659,3833,4492
144,2011-05-25,summer,2011,May,no,wednesday,yes,clear,27.09,30.78,69.62,10.33,740,4238,4978
145,2011-05-26,summer,2011,May,no,thursday ,yes,clear,29.04,32.73,67.75,13.38,758,3919,4677
146,2011-05-27,summer,2011,May,no,friday,yes,clear,27.95,31.85,65.38,16.13,871,3808,4679
147,2011-05-28,summer,2011,May,no,saturday,no,clear,26.89,30.62,72.96,15.42,2001,2757,4758
148,2011-05-29,summer,2011,May,no,sunday,no,clear,27.37,30.78,81.88,14.33,2355,2433,4788
149,2011-05-30,summer,2011,May,yes,monday,no,clear,30.07,33.55,68.5,8.79,1549,2549,4098
150,2011-05-31,summer,2011,May,no,tuesday,yes,clear,31.78,36.27,63.67,7.46,673,3309,3982
151,2011-06-01,summer,2011,Jun,no,wednesday,yes,mist,31.33,36.05,67.71,13.88,513,3461,3974
152,2011-06-02,summer,2011,Jun,no,thursday ,yes,clear,29.32,32.2,30.5,19.58,736,4232,4968
153,2011-06-03,summer,2011,Jun,no,friday,yes,clear,25.42,29.36,35.42,16.96,898,4414,5312
154,2011-06-04,summer,2011,Jun,no,saturday,no,clear,26.04,29.73,45.62,8.25,1869,3473,5342
155,2011-06-05,summer,2011,Jun,no,sunday,no,mist,26.58,30.84,65.25,9.29,1685,3221,4906
156,2011-06-06,summer,2011,Jun,no,monday,yes,clear,27.81,31.09,60.0,8.17,673,3875,4548
157,2011-06-07,summer,2011,Jun,no,tuesday,yes,clear,29.01,32.8,59.79,12.58,763,4070,4833
158,2011-06-08,summer,2011,Jun,no,wednesday,yes,clear,31.81,36.36,62.21,9.17,676,3725,4401
159,2011-06-09,summer,2011,Jun,no,thursday ,yes,mist,33.14,37.88,56.83,10.04,563,3352,3915
160,2011-06-10,summer,2011,Jun,no,friday,yes,clear,30.96,35.16,60.5,9.42,815,3771,4586
161,2011-06-11,summer,2011,Jun,no,saturday,no,clear,29.72,33.9,65.46,10.37,1729,3237,4966
162,2011-06-12,summer,2011,Jun,no,sunday,no,clear,28.39,32.17,74.79,10.96,1467,2993,4460
163,2011-06-13,summer,2011,Jun,no,monday,yes,clear,26.04,30.08,49.46,20.46,863,4157,5020
164,2011-06-14,summer,2011,Jun,no,tuesday,yes,clear,24.77,29.58,50.71,18.04,727,4164,4891
165,2011-06-15,summer,2011,Jun,no,wednesday,yes,clear,25.69,29.39,47.17,11.25,769,4411,5180
166,2011-06-16,summer,2011,Jun,no,thursday ,yes,mist,25.76,29.77,68.83,13.83,545,3222,3767
167,2011-06-17,summer,2011,Jun,no,friday,yes,clear,26.62,30.02,73.58,9.58,863,3981,4844
168,2011-06-18,summer,2011,Jun,no,saturday,no,clear,28.56,32.2,67.04,8.0,1807,3312,5119
169,2011-06-19,summer,2011,Jun,no,sunday,no,mist,28.67,32.29,66.67,6.83,1639,3105,4744
170,2011-06-20,summer,2011,Jun,no,monday,yes,mist,26.04,29.77,74.62,10.42,699,3311,4010
171,2011-06-21,fall,2011,Jun,no,tuesday,yes,mist,27.91,31.88,77.04,11.46,774,4061,4835
172,2011-06-22,fall,2011,Jun,no,wednesday,yes,clear,30.07,34.69,70.75,11.54,661,3846,4507
173,2011-06-23,fall,2011,Jun,no,thursday ,yes,mist,29.86,34.69,70.33,16.0,746,4044,4790
174,2011-06-24,fall,2011,Jun,no,friday,yes,clear,29.69,32.83,57.33,14.88,969,4022,4991
175,2011-06-25,fall,2011,Jun,no,saturday,no,clear,28.49,32.17,48.33,14.04,1782,3420,5202
176,2011-06-26,fall,2011,Jun,no,sunday,no,clear,27.88,31.88,51.33,6.33,1920,3385,5305
177,2011-06-27,fall,2011,Jun,no,monday,yes,mist,27.98,31.85,65.83,7.21,854,3854,4708
178,2011-06-28,fall,2011,Jun,no,tuesday,yes,clear,30.51,34.63,63.42,9.67,732,3916,4648
179,2011-06-29,fall,2011,Jun,no,wednesday,yes,clear,29.86,32.73,49.79,17.54,848,4377,5225
180,2011-06-30,fall,2011,Jun,no,thursday ,yes,clear,28.56,31.85,43.42,12.42,1027,4488,5515
181,2011-07-01,fall,2011,Jul,no,friday,yes,clear,29.62,32.61,39.62,6.87,1246,4116,5362
182,2011-07-02,fall,2011,Jul,no,saturday,no,clear,30.27,33.37,44.46,7.71,2204,2915,5119
183,2011-07-03,fall,2011,Jul,no,sunday,no,mist,29.38,33.43,68.25,15.33,2282,2367,4649
184,2011-07-04,fall,2011,Jul,yes,monday,no,mist,29.79,33.27,63.79,5.46,3065,2978,6043
185,2011-07-05,fall,2011,Jul,no,tuesday,yes,clear,30.61,34.82,59.04,8.46,1031,3634,4665
186,2011-07-06,fall,2011,Jul,no,wednesday,yes,clear,29.52,34.28,74.33,10.04,784,3845,4629
187,2011-07-07,fall,2011,Jul,no,thursday ,yes,clear,30.75,34.34,65.12,10.67,754,3838,4592
188,2011-07-08,fall,2011,Jul,no,friday,yes,mist,29.08,33.52,75.79,15.08,692,3348,4040
189,2011-07-09,fall,2011,Jul,no,saturday,no,clear,30.07,33.21,60.92,11.25,1988,3348,5336
190,2011-07-10,fall,2011,Jul,no,sunday,no,clear,30.65,34.5,57.83,12.29,1743,3138,4881
191,2011-07-11,fall,2011,Jul,no,monday,yes,clear,31.26,36.49,63.58,18.92,723,3363,4086
192,2011-07-12,fall,2011,Jul,no,tuesday,yes,clear,32.56,36.96,55.92,13.42,662,3596,4258
193,2011-07-13,fall,2011,Jul,no,wednesday,yes,clear,30.61,34.47,63.17,9.79,748,3594,4342
194,2011-07-14,fall,2011,Jul,no,thursday ,yes,clear,27.91,31.76,47.62,16.12,888,4196,5084
195,2011-07-15,fall,2011,Jul,no,friday,yes,clear,27.2,31.22,59.13,12.25,1318,4220,5538
196,2011-07-16,fall,2011,Jul,no,saturday,no,clear,28.15,31.91,58.5,13.96,2418,3505,5923
197,2011-07-17,fall,2011,Jul,no,sunday,no,clear,29.49,33.49,60.42,16.42,2006,3296,5302
198,2011-07-18,fall,2011,Jul,no,monday,yes,clear,30.61,35.2,65.12,14.46,841,3617,4458
199,2011-07-19,fall,2011,Jul,no,tuesday,yes,clear,31.84,37.37,65.04,8.75,752,3789,4541
200,2011-07-20,fall,2011,Jul,no,wednesday,yes,clear,31.5,37.34,70.71,7.63,644,3688,4332
201,2011-07-21,fall,2011,Jul,no,thursday ,yes,mist,33.42,41.32,69.12,14.88,632,3152,3784
202,2011-07-22,fall,2011,Jul,no,friday,yes,clear,34.78,42.04,58.04,8.92,562,2825,3387
203,2011-07-23,fall,2011,Jul,no,saturday,no,clear,34.82,40.21,50.0,8.79,987,2298,3285
204,2011-07-24,fall,2011,Jul,no,sunday,no,clear,34.03,39.74,55.08,11.33,1050,2556,3606
205,2011-07-25,fall,2011,Jul,no,monday,yes,clear,30.48,36.05,75.71,6.08,568,3272,3840
206,2011-07-26,fall,2011,Jul,no,tuesday,yes,clear,31.64,34.85,54.08,13.42,750,3840,4590
207,2011-07-27,fall,2011,Jul,no,wednesday,yes,clear,31.78,34.53,40.29,12.29,755,3901,4656
208,2011-07-28,fall,2011,Jul,no,thursday ,yes,clear,31.95,36.99,58.33,11.96,606,3784,4390
209,2011-07-29,fall,2011,Jul,no,friday,yes,clear,34.37,39.3,54.25,11.67,670,3176,3846
210,2011-07-30,fall,2011,Jul,no,saturday,no,clear,32.97,36.43,46.58,11.29,1559,2916,4475
211,2011-07-31,fall,2011,Jul,no,sunday,no,clear,33.04,36.49,48.08,11.04,1524,2778,4302
212,2011-08-01,fall,2011,Aug,no,monday,yes,clear,31.64,35.16,55.08,10.5,729,3537,4266
213,2011-08-02,fall,2011,Aug,no,tuesday,yes,clear,32.12,35.35,49.12,13.79,801,4044,4845
214,2011-08-03,fall,2011,Aug,no,wednesday,yes,mist,30.0,34.0,65.75,9.08,467,3107,3574
215,2011-08-04,fall,2011,Aug,no,thursday ,yes,mist,29.11,33.24,75.75,13.21,799,3777,4576
216,2011-08-05,fall,2011,Aug,no,friday,yes,clear,29.14,32.83,63.08,12.37,1023,3843,4866
217,2011-08-06,fall,2011,Aug,no,saturday,no,mist,29.38,33.81,75.5,15.29,1521,2773,4294
218,2011-08-07,fall,2011,Aug,no,sunday,no,clear,30.44,35.76,75.29,13.5,1298,2487,3785
219,2011-08-08,fall,2011,Aug,no,monday,yes,clear,31.36,35.16,59.21,12.88,846,3480,4326
220,2011-08-09,fall,2011,Aug,no,tuesday,yes,clear,31.78,36.21,57.04,10.13,907,3695,4602
221,2011-08-10,fall,2011,Aug,no,wednesday,yes,clear,31.43,34.25,42.42,13.42,884,3896,4780
222,2011-08-11,fall,2011,Aug,no,thursday ,yes,clear,29.42,32.58,42.38,11.04,812,3980,4792
223,2011-08-12,fall,2011,Aug,no,friday,yes,clear,29.04,32.7,41.5,8.42,1051,3854,4905
224,2011-08-13,fall,2011,Aug,no,saturday,no,mist,28.12,32.29,72.96,14.17,1504,2646,4150
225,2011-08-14,fall,2011,Aug,no,sunday,no,mist,27.74,31.22,81.75,14.92,1338,2482,3820
226,2011-08-15,fall,2011,Aug,no,monday,yes,clear,27.3,30.81,71.21,14.0,775,3563,4338
227,2011-08-16,fall,2011,Aug,no,tuesday,yes,clear,28.73,32.29,57.83,15.83,721,4004,4725
228,2011-08-17,fall,2011,Aug,no,wednesday,yes,clear,29.66,33.33,57.54,9.63,668,4026,4694
229,2011-08-18,fall,2011,Aug,no,thursday ,yes,clear,29.18,33.11,65.46,15.62,639,3166,3805
230,2011-08-19,fall,2011,Aug,no,friday,yes,mist,28.08,31.66,72.29,9.33,797,3356,4153
231,2011-08-20,fall,2011,Aug,no,saturday,no,clear,28.6,32.45,67.42,7.0,1914,3277,5191
232,2011-08-21,fall,2011,Aug,no,sunday,no,clear,29.14,33.78,77.0,16.67,1249,2624,3873
233,2011-08-22,fall,2011,Aug,no,monday,yes,clear,28.36,31.91,47.0,18.54,833,3925,4758
234,2011-08-23,fall,2011,Aug,no,tuesday,yes,clear,26.27,30.3,45.54,9.83,1281,4614,5895
235,2011-08-24,fall,2011,Aug,no,wednesday,yes,clear,27.61,31.53,60.5,16.96,949,4181,5130
236,2011-08-25,fall,2011,Aug,no,thursday ,yes,mist,28.05,32.29,77.17,14.13,435,3107,3542
237,2011-08-26,fall,2011,Aug,no,friday,yes,clear,28.7,32.99,76.12,5.63,768,3893,4661
238,2011-08-27,fall,2011,Aug,no,saturday,no,mist,27.88,31.78,85.0,25.17,226,889,1115
239,2011-08-28,fall,2011,Aug,no,sunday,no,clear,28.99,32.4,56.18,20.41,1415,2919,4334
240,2011-08-29,fall,2011,Aug,no,monday,yes,clear,26.1,30.4,55.46,10.71,729,3905,4634
241,2011-08-30,fall,2011,Aug,no,tuesday,yes,clear,26.21,29.74,54.83,8.38,775,4429,5204
242,2011-08-31,fall,2011,Aug,no,wednesday,yes,clear,26.92,30.56,59.79,5.58,688,4370,5058
243,2011-09-01,fall,2011,Sep,no,thursday ,yes,clear,26.86,30.75,63.92,9.5,783,4332,5115
244,2011-09-02,fall,2011,Sep,no,friday,yes,mist,26.38,30.24,72.71,9.38,875,3852,4727
245,2011-09-03,fall,2011,Sep,no,saturday,no,clear,27.44,31.66,71.67,12.42,1935,2549,4484
246,2011-09-04,fall,2011,Sep,no,sunday,no,clear,29.08,33.27,74.21,13.83,2521,2419,4940
247,2011-09-05,fall,2011,Sep,yes,monday,no,mist,27.61,31.28,79.04,14.25,1236,2115,3351
248,2011-09-06,fall,2011,Sep,no,tuesday,yes,light rain,22.14,25.76,88.7,23.04,204,2506,2710
249,2011-09-07,fall,2011,Sep,no,wednesday,yes,light rain,24.57,27.21,91.71,6.5,118,1878,1996
250,2011-09-08,fall,2011,Sep,no,thursday ,yes,light rain,25.99,27.77,93.96,12.91,153,1689,1842
251,2011-09-09,fall,2011,Sep,no,friday,yes,mist,26.65,28.95,89.79,8.33,417,3127,3544
252,2011-09-10,fall,2011,Sep,no,saturday,no,clear,27.06,30.4,75.38,10.29,1750,3595,5345
